Trial,TraderTypes,TotalProfit
trial0001,MarketMaker,2729.0
trial0001,ZIC,1088.0
trial0002,MarketMaker,3119.0
trial0002,ZIC,1304.0
trial0003,MarketMaker,3122.0
trial0003,ZIC,871.0
trial0004,MarketMaker,3127.0
trial0004,ZIC,842.0
trial0005,MarketMaker,2211.0
trial0005,ZIC,885.0
trial0006,MarketMaker,2884.0
trial0006,ZIC,1234.0
trial0007,MarketMaker,2827.0
trial0007,ZIC,1107.0
trial0008,MarketMaker,2366.0
trial0008,ZIC,1040.0
trial0009,MarketMaker,3344.0
trial0009,ZIC,609.0
trial0010,MarketMaker,2279.0
trial0010,ZIC,831.0
trial0011,MarketMaker,2762.0
trial0011,ZIC,839.0
trial0012,MarketMaker,2423.0
trial0012,ZIC,1146.0
trial0013,MarketMaker,2799.0
trial0013,ZIC,868.0
trial0014,MarketMaker,2965.0
trial0014,ZIC,1230.0
trial0015,MarketMaker,2883.0
trial0015,ZIC,629.0
trial0016,MarketMaker,2344.0
trial0016,ZIC,1154.0
trial0017,MarketMaker,2903.0
trial0017,ZIC,844.0
trial0018,MarketMaker,2981.0
trial0018,ZIC,1117.0
trial0019,MarketMaker,3052.0
trial0019,ZIC,678.0
trial0020,MarketMaker,3359.0
trial0020,ZIC,667.0
trial0021,MarketMaker,3658.0
trial0021,ZIC,986.0
trial0022,MarketMaker,3965.0
trial0022,ZIC,816.0
trial0023,MarketMaker,1739.0
trial0023,ZIC,1046.0
trial0024,MarketMaker,2924.0
trial0024,ZIC,680.0
trial0025,MarketMaker,2495.0
trial0025,ZIC,1005.0
trial0026,MarketMaker,2330.0
trial0026,ZIC,721.0
trial0027,MarketMaker,4001.0
trial0027,ZIC,583.0
trial0028,MarketMaker,2370.0
trial0028,ZIC,1053.0
trial0029,MarketMaker,2612.0
trial0029,ZIC,1062.0
trial0030,MarketMaker,3189.0
trial0030,ZIC,713.0
trial0031,MarketMaker,3183.0
trial0031,ZIC,873.0
trial0032,MarketMaker,2099.0
trial0032,ZIC,732.0
trial0033,MarketMaker,2893.0
trial0033,ZIC,971.0
trial0034,MarketMaker,3479.0
trial0034,ZIC,974.0
trial0035,MarketMaker,2829.0
trial0035,ZIC,931.0
trial0036,MarketMaker,2919.0
trial0036,ZIC,866.0
trial0037,MarketMaker,3260.0
trial0037,ZIC,1388.0
trial0038,MarketMaker,2211.0
trial0038,ZIC,850.0
